"","","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)"
"Greece"," Male","8.1","7.8","6.0","5.7","5.4"
"Greece"," Female","2.0","1.9","0.7","1.4","1.5"
"Grenada"," Both sexes","1.7","1.1","0.9","2.7","1.9"
"Grenada"," Male","1.5","1.0","1.8","4.9","2.7"
"Grenada"," Female","1.9","1.1","0.0","0.6","1.1"
"Guatemala"," Both sexes","2.7","3.1","2.9","3.2","3.2"
"Guatemala"," Male","3.7","4.3","4.3","4.6","4.9"
"Guatemala"," Female","1.8","1.9","1.5","1.8","1.6"
"Guinea"," Both sexes","6.3","6.4","6.6","6.8","6.3"
"Guinea"," Male","7.5","7.6","8.1","8.3","7.2"
"Guinea"," Female","5.0","5.2","5.1","5.4","5.4"
"Guinea-Bissau"," Both sexes","4.0","3.9","4.2","4.4","5.0"
"Guinea-Bissau"," Male","4.7","4.6","4.9","5.0","5.7"
"Guinea-Bissau"," Female","3.3","3.3","3.4","3.9","4.4"
"Guyana"," Both sexes","29.2","29.1","26.8","24.4","23.4"
"Guyana"," Male","43.7","43.4","39.9","35.9","34.6"
"Guyana"," Female","14.4","14.5","13.6","12.8","12.3"
"Haiti"," Both sexes","11.7","11.7","10.2","9.5","8.7"
"Haiti"," Male","17.0","17.0","14.8","14.1","13.1"
"Haiti"," Female","6.5","6.5","5.7","5.0","4.4"
"Honduras"," Both sexes","2.9","2.8","2.5","2.5","2.3"
"Honduras"," Male","4.4","4.2","3.6","3.6","3.4"
"Honduras"," Female","1.5","1.5","1.3","1.4","1.3"
"Hungary"," Both sexes","19.1","20.3","26.0","26.7","32.5"
"Hungary"," Male","29.7","31.6","42.1","43.1","51.5"
"Hungary"," Female","9.6","10.1","11.4","11.8","15.3"
"Iceland"," Both sexes","14.0","14.0","13.3","12.2","16.2"
"Iceland"," Male","22.3","22.3","20.5","15.9","25.5"
"Iceland"," Female","5.6","5.7","6.0","8.5","6.9"
"India"," Both sexes","16.3","16.5","16.5","17.6","17.4"
"India"," Male","17.8","18.0","17.7","18.1","18.6"
"India"," Female","14.7","14.9","15.2","17.1","16.0"
"Indonesia"," Both sexes","3.4","3.4","3.6","3.8","3.9"
"Indonesia"," Male","4.8","4.8","5.1","5.3","5.3"
"Indonesia"," Female","2.0","2.0","2.2","2.3","2.5"
"Iran (Islamic Republic of)"," Both sexes","4.1","4.0","6.6","10.7","10.7"
"Iran (Islamic Republic of)"," Male","5.0","5.0","8.7","13.1","12.0"
"Iran (Islamic Republic of)"," Female","3.1","3.0","4.4","8.2","9.3"
"Iraq"," Both sexes","3.0","3.1","2.8","2.5","2.7"
"Iraq"," Male","3.4","3.5","3.3","3.1","3.4"
"Iraq"," Female","2.6","2.6","2.2","1.9","1.9"
"Ireland"," Both sexes","11.5","11.5","12.0","11.9","12.4"
"Ireland"," Male","18.5","18.5","18.5","18.8","20.2"
"Ireland"," Female","4.6","4.5","5.6","4.9","4.8"
"Israel"," Both sexes","5.4","5.0","7.3","7.6","7.5"
"Israel"," Male","8.1","7.6","12.0","11.0","11.8"
"Israel"," Female","2.7","2.4","2.7","4.2","3.3"
"Italy"," Both sexes","8.2","8.0","7.5","7.0","7.8"
"Italy"," Male","12.1","11.8","11.4","10.3","11.7"
"Italy"," Female","4.5","4.5","3.8","3.9","4.1"
